Category_Code,Data_Type,Total_Akaike_Weight,category1,category2,category3,category4,num_transactions,mean_price
16040408,logit,0.000,Health & Household,Household Supplies,Household Batteries,AAA,1610.0,10.795845985412598
16040408,reviews,0.308,Health & Household,Household Supplies,Household Batteries,AAA,1610.0,10.795845985412598
16040408,titles,0.146,Health & Household,Household Supplies,Household Batteries,AAA,1610.0,10.795845985412598
16041006,combined,0.005,Health & Household,Household Supplies,Paper & Plastic,Paper & Plastic,923.0,21.764205932617188
16041006,descriptions,0.054,Health & Household,Household Supplies,Paper & Plastic,Paper & Plastic,923.0,21.764205932617188
16041006,images,0.018,Health & Household,Household Supplies,Paper & Plastic,Paper & Plastic,923.0,21.764205932617188
16041006,logit,0.000,Health & Household,Household Supplies,Paper & Plastic,Paper & Plastic,923.0,21.764205932617188
16041006,reviews,0.867,Health & Household,Household Supplies,Paper & Plastic,Paper & Plastic,923.0,21.764205932617188
16041006,titles,0.056,Health & Household,Household Supplies,Paper & Plastic,Paper & Plastic,923.0,21.764205932617188
16041007,combined,0.008,Health & Household,Household Supplies,Paper & Plastic,Paper Towels,728.0,21.6958065032959
16041007,descriptions,0.005,Health & Household,Household Supplies,Paper & Plastic,Paper Towels,728.0,21.6958065032959
16041007,images,0.007,Health & Household,Household Supplies,Paper & Plastic,Paper Towels,728.0,21.6958065032959
16041007,logit,0.000,Health & Household,Household Supplies,Paper & Plastic,Paper Towels,728.0,21.6958065032959
16041007,reviews,0.018,Health & Household,Household Supplies,Paper & Plastic,Paper Towels,728.0,21.6958065032959
16041007,titles,0.962,Health & Household,Household Supplies,Paper & Plastic,Paper Towels,728.0,21.6958065032959
17021806,combined,0.008,Home & Kitchen,Bedding,Sheets & Pillowcases,Sheet & Pillowcase Sets,864.0,30.230554580688477
17021806,descriptions,0.451,Home & Kitchen,Bedding,Sheets & Pillowcases,Sheet & Pillowcase Sets,864.0,30.230554580688477
17021806,images,0.203,Home & Kitchen,Bedding,Sheets & Pillowcases,Sheet & Pillowcase Sets,864.0,30.230554580688477
17021806,logit,0.000,Home & Kitchen,Bedding,Sheets & Pillowcases,Sheet & Pillowcase Sets,864.0,30.230554580688477
