book_i,book_j,title_i,title_j,price_increase_avg_plain_logit,rel_price_increase_avg_plain_logit,price_increase_avg_mlogit_attributes,rel_price_increase_avg_mlogit_attributes,price_increase_avg_mlogit_texts,rel_price_increase_avg_mlogit_texts
6,4,The Ashes & The Star Cursed King,The Inmate,3.5000437057498175,3.963233954880141,3.872573005616644,4.273727254192517,3.6368260866529667,4.068338641946534
6,5,The Ashes & The Star Cursed King,The Serpent & The Wings of Night,2.162303213754562,2.461736043003848,3.1669196791896397,3.510719162147935,2.5268021018440336,2.8379867567664308
6,7,The Ashes & The Star Cursed King,Court of Ravens and Ruin,2.0179528520451058,2.2994869222204284,1.8718936784619373,2.0876632119434024,2.542062296585563,2.852801912955194
6,8,The Ashes & The Star Cursed King,Dopamine Detox,2.3491315101910217,2.670376106718253,1.1695829130491617,1.2885344437666535,1.7512351548929317,1.9481043179035984
6,9,The Ashes & The Star Cursed King,Don't Believe Everything You Think,2.368037036555691,2.6919842541511807,1.3818385421462196,1.5304563646794889,1.715593758451604,1.9122394225437378
6,10,The Ashes & The Star Cursed King,The Art of Letting Go,1.7947495519187413,2.0476988848152855,1.284771993170203,1.4350158860990003,1.4026167266521128,1.5771594567688618
7,1,Court of Ravens and Ruin,Please Tell Me,5.814984947875509,6.453154131715989,6.078846950120521,6.651770630579734,6.054998744673263,6.599476245371793
7,2,Court of Ravens and Ruin,The Housemaid,4.494713398332749,5.014271990900864,4.664996797089152,5.135737464906498,4.982177035934562,5.457178030500398
7,3,Court of Ravens and Ruin,The Ritual,2.350012141897416,2.665027851009516,2.2755076629689057,2.5280492818127054,2.596434576181011,2.9020663146533066
7,4,Court of Ravens and Ruin,The Inmate,4.067345926449747,4.546316746718693,4.184517655257579,4.616088360217718,4.191770313587185,4.611797180426569
7,5,Court of Ravens and Ruin,The Serpent & The Wings of Night,2.694270781907804,3.042637631211542,2.661892694644891,2.9591185228145633,3.2103001395519755,3.563575599109392
7,6,Court of Ravens and Ruin,The Ashes & The Star Cursed King,2.014521306169442,2.295668710215326,1.875644128330407,2.0919343655249167,2.5484882135432088,2.8603263137300217
7,8,Court of Ravens and Ruin,Dopamine Detox,2.8974442654616723,3.264704405423957,3.1785309822667003,3.4860563607733486,2.2684049345432697,2.4822281883663755
7,9,Court of Ravens and Ruin,Don't Believe Everything You Think,2.91659885802315,3.286990327081818,3.0932468558302944,3.418973307712081,2.1443998109812696,2.3529249336698754
7,10,Court of Ravens and Ruin,The Art of Letting Go,2.341318619118148,2.6553726629098606,2.4189097979704712,2.703658647802265,1.751798200563627,1.9489618100920092
8,1,Dopamine Detox,Please Tell Me,6.273713033129731,6.897153139366552,5.7358432509902855,6.077913127545775,5.311385062345657,5.610112602754502
8,2,Dopamine Detox,The Housemaid,4.910792338949484,5.436743844915237,4.875438898783955,5.21331629945051,3.7627477244707066,4.0189499070158785
8,3,Dopamine Detox,The Ritual,2.7033108934259715,3.056159328247765,1.499174468212388,1.6399042856514057,2.2284012754588503,2.458830084208097
8,4,Dopamine Detox,The Inmate,4.47206086897485,4.964899279587787,4.052414644958112,4.353903387506708,4.055509744281643,4.3494116345812905
8,5,Dopamine Detox,The Serpent & The Wings of Night,3.0399205377717493,3.4189985254167055,2.105755692672112,2.2992189458760914,2.0994547479217402,2.296294170817592
8,6,Dopamine Detox,The Ashes & The Star Cursed King,2.3557243374551433,2.678134831115919,1.1663220527725073,1.2849987569809485,1.7660525902828184,1.965256009437999
8,7,Dopamine Detox,Court of Ravens and Ruin,2.9210705653070406,3.292271239015254,3.1721729855400085,3.4792847864887677,2.2710722091556548,2.4854769364108797
8,9,Dopamine Detox,Don't Believe Everything You Think,3.2676806481158494,3.6658649353368378,6.234892160143211,6.68296188057782,8.48826842376949,8.935381129292042
8,10,Dopamine Detox,The Art of Letting Go,2.6947726800813996,3.0469887221895697,3.927026148979081,4.310318656719414,5.11552806186203,5.570635546025482
9,1,Don't Believe Everything You Think,Please Tell Me,6.272505295779595,6.895941406510342,6.05580767022024,6.49749344015903,5.568612771561014,5.903239195539889
9,2,Don't Believe Everything You Think,The Housemaid,4.904444187093915,5.429078945613453,4.8901881160478595,5.291814152496022,3.8721527074364417,4.150168291403777
